round,aggregate_norm,cosine_with_honest_mean,cosine_with_honest_mean_valid
0,0.06343716382980347,0.5003177523612976,1
5,0.21499373018741608,0.36103537678718567,1
10,0.3011952042579651,0.11635488271713257,1
15,0.28752854466438293,0.002728188643231988,1
20,0.2461119294166565,0.5628846883773804,1
25,0.2618953287601471,0.29241567850112915,1
30,0.30007120966911316,0.34885579347610474,1
35,0.34429609775543213,0.310830295085907,1
40,0.36473631858825684,0.5619623064994812,1
45,0.41355571150779724,0.6733056306838989,1
50,0.38539376854896545,0.6568126678466797,1
55,0.35815390944480896,0.4122512638568878,1
60,0.31391188502311707,0.3946740925312042,1
65,0.31812700629234314,0.36579129099845886,1
70,0.2935943901538849,-0.3176756203174591,1
75,0.2479775846004486,0.4804655909538269,1
80,0.2465035766363144,-0.13226211071014404,1
85,0.22690759599208832,0.41265231370925903,1
90,0.20455056428909302,0.37667638063430786,1
95,0.25276046991348267,0.19283711910247803,1
